"Option Name","score","Distance to work","10","Rent","10","Pictures","0","modifier"
"[342 E 55th St](https://www.google.com/maps/dir/342+E+55th+St,+New+York,+NY+10022/731+Lexington+Ave,+New+York,+NY+10022/@40.7594493,-73.9687333,17z/data=!3m1!4b1!4m14!4m13!1m5!1m1!1s0x89c258e1521f3bd1:0xe107aac541ea82de!2m2!1d-73.9647276!2d40.7571495!1m5!1m1!1s0x89c258e59e3cff31:0x5101c0b36fb8e1be!2m2!1d-73.9680045!2d40.7617491!3e2)","100","10 min","10","$3,000 (comes even broker fee + month free rent)","10","![E55-1](https://raw.githubusercontent.com/adinutzyc21/files-to-import/master/img/E55/1.JPG)
![E55-2](https://raw.githubusercontent.com/adinutzyc21/files-to-import/master/img/E55/2.JPG)
![E55-3](https://raw.githubusercontent.com/adinutzyc21/files-to-import/master/img/E55/3.JPG)
![E55-4](https://raw.githubusercontent.com/adinutzyc21/files-to-import/master/img/E55/4.JPG)
![E55-5](https://raw.githubusercontent.com/adinutzyc21/files-to-import/master/img/E55/5.JPG)
![E55-6](https://raw.githubusercontent.com/adinutzyc21/files-to-import/master/img/E55/6.JPG)
![E55-7](https://raw.githubusercontent.com/adinutzyc21/files-to-import/master/img/E55/7.JPG)","5","0"
"[48-50 W 56th St](https://www.google.com/maps/dir/50+W+56th+St,+New+York,+NY+10019/731+Lexington+Ave,+New+York,+NY+10022/@40.7619509,-73.9768436,16z/data=!3m1!4b1!4m14!4m13!1m5!1m1!1s0x89c258fa1c1c4b39:0xab5784e735ed95ce!2m2!1d-73.9769279!2d40.7631406!1m5!1m1!1s0x89c258e59e3cff31:0x5101c0b36fb8e1be!2m2!1d-73.9680045!2d40.7617491!3e2)","76.9","12 min","8","$3,033.33 ($2,800 + 1 month broker fee)","9","![W56-1](https://raw.githubusercontent.com/adinutzyc21/files-to-import/master/img/W56/1.jpg)
![W56-2](https://raw.githubusercontent.com/adinutzyc21/files-to-import/master/img/W56/2.jpg)","5","0"
"[140 E 46th St](https://www.google.com/maps/dir/140+E+46th+St,+New+York,+NY+10017/731+Lexington+Ave,+New+York,+NY+10022/@40.7576187,-73.974993,16z/data=!3m1!4b1!4m14!4m13!1m5!1m1!1s0x89c2590281008ba7:0xa5afb65cf371b2c0!2m2!1d-73.9739914!2d40.7536593!1m5!1m1!1s0x89c258e59e3cff31:0x5101c0b36fb8e1be!2m2!1d-73.9680045!2d40.7617491!3e2)","53.8","13 min","7","$3,087.5 ($2,850 + 1 month broker fee)","7","![E46-1](https://raw.githubusercontent.com/adinutzyc21/files-to-import/master/img/E46/1.jpg)","5","0"
"[140 W 55th St](https://www.google.com/maps/dir/140+W+55th+St,+New+York,+NY+10019/731+Lexington+Ave,+New+York,+NY+10022/@40.7623162,-73.9783385,16z/data=!3m1!4b1!4m14!4m13!1m5!1m1!1s0x89c258f9cb705ceb:0x5074d315216d2c6b!2m2!1d-73.9799178!2d40.7635682!1m5!1m1!1s0x89c258e59e3cff31:0x5101c0b36fb8e1be!2m2!1d-73.9680045!2d40.7617491!3e2)","38.5","16 min","4","$3,050","8","![W55-1](https://raw.githubusercontent.com/adinutzyc21/files-to-import/master/img/W55/1.jpg)","5","0"
"[226 E 70th St](https://www.google.com/maps/dir/226+East+70th+Street,+New+York,+NY/731+Lexington+Ave,+New+York,+NY+10022/@40.7653481,-73.9685498,16z/data=!3m1!4b1!4m14!4m13!1m5!1m1!1s0x89c258ea0e76f43d:0x5d714a8651160413!2m2!1d-73.9601069!2d40.767578!1m5!1m1!1s0x89c258e59e3cff31:0x5101c0b36fb8e1be!2m2!1d-73.9680045!2d40.7617491!3e2)","0","14 min","6","$3,244.58 ($2,995 + 1 month broker fee)","1","![E70-1](https://raw.githubusercontent.com/adinutzyc21/files-to-import/master/img/E70/1.jpg)
![E70-2](https://raw.githubusercontent.com/adinutzyc21/files-to-import/master/img/E70/2.jpg)
![E70-3](https://raw.githubusercontent.com/adinutzyc21/files-to-import/master/img/E70/3.jpg)
![E70-4](https://raw.githubusercontent.com/adinutzyc21/files-to-import/master/img/E70/4.jpg)","5","0"
